t	runner_cpu_pct	runner_mem_bytes	runner_pids	dind_cpu_pct	dind_mem_bytes	dind_pids	mem_available_bytes
0	0.01	25878855	15	0.03	2246267895	29	10781089792
5	0.01	25878855	15	0.10	2246267895	29	10761695232
10	0.16	29674700	15	98.92	2483564838	53	10473017344
15	0.11	30010245	15	171.62	2784212549	55	10247655424
20	0.13	29685186	15	164.99	2989297238	55	10136997888
25	0.10	29349642	15	132.64	3061237940	63	10066497536
30	0.16	28091351	15	187.80	2850784542	79	10099859456
35	0.13	28101836	15	225.77	3104187613	79	9912651776
40	0.12	28615639	15	151.73	3176128315	75	9872539648
45	0.13	28238151	15	145.32	3342558298	75	9711779840
50	0.13	27273461	15	742.17	3408056549	141	9281085440
55	0.87	27776778	15	729.36	3248069017	141	9299578880
60	0.19	27787264	15	714.72	3245921533	141	9452699648
65	0.14	27074232	15	719.10	3006477107	142	9383161856
70	0.16	27598520	15	725.73	3231962890	141	9338929152
75	0.12	27850178	15	682.50	3236257857	142	9389170688
80	0.22	27598520	15	683.07	2954937499	141	9510563840
85	8.59	28458352	15	95.85	2240899186	27	10508509184
90	0.00	26277314	15	0.04	2209760673	27	10576547840
95	0.17	26277314	15	0.03	2209760673	27	10648211456
100	0.05	26528972	15	0.06	2209760673	27	10634309632
105	0.15	27063746	15	0.08	2209760673	27	10642579456
110	0.17	27063746	15	0.13	2209760673	27	10635780096
115	0.14	27053260	15	0.03	2209760673	27	10632708096
120	0.20	26277314	15	0.07	2209760673	27	10641735680
125	0.05	26277314	15	0.13	2209760673	27	10638450688
130	0.16	26801602	15	0.05	2209760673	27	10655961088
135	0.07	26277314	15	0.04	2209760673	27	10639093760
140	0.00	26277314	15	6.93	2209760673	27	10645639168
145	0.01	26539458	15	0.03	2209760673	27	10645594112
150	0.01	26528972	15	0.06	2209760673	27	10748682240
155	0.00	26539458	15	0.03	2209760673	27	10569355264
160	0.01	26277314	15	0.04	2200096997	27	10568679424
165	0.00	25081937	15	0.12	2200096997	27	10594631680
170	0.00	25344081	15	0.02	2200096997	27	10615963648
175	0.00	25344081	15	0.01	2200096997	27	10584358912
180	0.01	25081937	15	0.04	2200096997	27	10593361920
185	0.05	25344081	15	0.05	2200096997	27	10608238592
190	0.07	25333596	15	0.10	2200096997	27	10599391232
195	0.19	25081937	15	0.07	2200096997	27	10580107264
200	0.10	25606225	15	0.08	2200096997	27	10577948672
205	0.08	25344081	15	0.12	2200096997	27	10581848064
210	0.06	25333596	15	0.02	2200096997	27	10613276672
215	0.09	25606225	15	0.10	2185064611	27	10609274880
220	0.17	25344081	15	0.11	2185064611	27	10710609920
225	0.06	25333596	15	0.05	2185064611	27	10734874624
230	0.03	25081937	15	0.09	2185064611	27	10854768640
235	0.01	25081937	15	0.12	2183990870	27	10573365248
240	0.01	24882708	15	0.06	2183990870	27	10668711936
245	0.00	24882708	15	0.04	2183990870	27	10702024704
250	0.01	24620564	15	0.01	2183990870	27	10676850688
255	0.00	24882708	15	0.01	2183990870	27	10684956672
260	0.01	24882708	15	0.01	2183990870	27	10687336448
265	0.01	24882708	15	0.01	2183990870	27	10705657856
270	0.00	24620564	15	0.15	2183990870	27	10684133376
275	0.15	25406996	15	0.04	2183990870	27	10679320576
280	0.05	24882708	15	0.05	2183990870	27	10709471232
285	0.18	25144852	15	0.07	2183990870	27	10690797568
290	0.21	25144852	15	0.06	2183990870	27	10715717632
295	0.05	24882708	15	0.08	2183990870	27	10719723520
300	0.05	24882708	15	0.04	2183990870	27	10725842944
305	0.17	24620564	15	0.08	2183990870	27	10730123264
310	0.03	24620564	15	0.05	2183990870	27	10712043520
315	0.01	24882708	15	0.08	2183990870	27	10749022208
320	0.00	24620564	15	0.03	2183990870	27	10688319488
325	0.00	24620564	15	0.10	2183990870	27	10659008512
330	0.01	24620564	15	0.09	2183990870	27	10690486272
335	0.05	24620564	15	0.01	2183990870	27	10719895552
340	0.01	24882708	15	0.01	2183990870	27	10698178560
345	0.00	24620564	15	0.01	2183990870	27	10671697920
350	0.00	24620564	15	0.13	2183990870	27	10697650176
355	0.00	24620564	15	0.04	2183990870	27	10730045440
360	0.07	25144852	15	0.02	2183990870	27	10688434176
365	0.10	25406996	15	0.04	2183990870	27	10628345856
370	0.15	25144852	15	0.03	2183990870	27	10719580160
375	0.18	24882708	15	0.04	2183990870	27	10729635840
380	0.07	24620564	15	0.09	2185064611	27	10481586176
385	0.26	24620564	15	0.09	2183990870	27	10515914752
390	0.18	25396510	15	0.05	2183990870	27	10614673408
395	0.14	24882708	15	0.06	2183990870	27	10636177408
400	0.01	24882708	15	0.07	2183990870	27	10827091968
405	0.01	24882708	15	0.07	2183990870	27	10474971136
410	0.01	24882708	15	0.05	2183990870	27	10565918720
415	0.00	24882708	15	0.03	2183990870	27	10564788224
